task,condition,model,n_per_group,mean_self,mean_nonself,mean_diff,p_value,p_adj,sig,condition_short
dating-ratings,neurodivergent,llama3.3-70b,48,-0.9166666666666666,0.041666666666666664,-0.9583333333333333,1.0528578550596175e-05,2.165879016122642e-05,***,N
dating-ratings,neurodiversity-informed,deepseek-r1,48,-1.2083333333333333,0.08333333333333333,-1.2916666666666665,7.73380573407856e-11,6.040944040869373e-10,***,NDI
dating-ratings,neurodiversity-informed,gemini2.5-flash,48,-0.9166666666666666,-0.16666666666666666,-0.75,0.0006684601491604207,0.0010938438804443248,**,NDI
dating-ratings,neurodiversity-informed,gpt4o,48,-0.6458333333333334,0.0625,-0.7083333333333334,6.988762676690496e-06,1.4799732727109285e-05,***,NDI
dating-ratings,neurodiversity-informed,gpt4o-mini,48,-1.4583333333333333,-0.0625,-1.3958333333333333,1.8432670525709418e-14,4.42384092617026e-13,***,NDI
dating-ratings,neurodiversity-informed,gpt5.2,48,-1.2291666666666667,-0.4375,-0.7916666666666667,3.2377031884364554e-06,7.770487652247493e-06,***,NDI
dating-ratings,neurodiversity-informed,llama3.3-70b,48,-1.6458333333333333,0.22916666666666666,-1.875,1.7641587640273596e-13,2.5403886201993978e-12,***,NDI
admission-ratings,no-context,deepseek-r1,48,-1.0625,-0.4375,-0.625,1.105640588922833e-05,2.211281177845666e-05,***,NC
admission-ratings,no-context,gemini2.5-flash,48,-1.375,-0.4375,-0.9375,1.8009803394610783e-06,4.631092301471344e-06,***,NC
admission-ratings,no-context,gpt4o,48,-0.9166666666666666,-0.08333333333333333,-0.8333333333333333,2.0107461297443473e-09,1.2064476778466084e-08,***,NC
admission-ratings,no-context,gpt4o-mini,48,-0.8958333333333334,-0.4791666666666667,-0.4166666666666667,0.0003552257890757231,0.0006089584955583824,***,NC
admission-ratings,no-context,gpt5.2,48,-0.9583333333333334,-0.22916666666666666,-0.7291666666666667,2.0068346436708345e-07,9.030755896518755e-07,***,NC
admission-ratings,no-context,llama3.3-70b,48,-1.6666666666666667,-0.8333333333333334,-0.8333333333333334,1.5009275829323054e-06,4.278065022218378e-06,***,NC
admission-ratings,autistic,deepseek-r1,48,-0.16666666666666666,0.1875,-0.35416666666666663,0.012997190083964742,0.01871595372090923,*,A
admission-ratings,autistic,gemini2.5-flash,48,0.4375,0.6458333333333334,-0.20833333333333337,0.24302348685156108,0.2651165311107939,,A
admission-ratings,autistic,gpt4o,48,0.0,0.020833333333333332,-0.020833333333333332,0.7424127906191276,0.7528693087968618,,A
admission-ratings,autistic,gpt4o-mini,48,-0.375,0.08333333333333333,-0.4583333333333333,0.0001218321905537769,0.00021394921267980333,***,A
admission-ratings,autistic,gpt5.2,48,-0.1875,0.0,-0.1875,0.06900403490912092,0.08566018126649494,,A
admission-ratings,autistic,llama3.3-70b,48,-0.3958333333333333,0.5416666666666666,-0.9375,5.035436689655668e-06,1.0986407322885095e-05,***,A
admission-ratings,neurodivergent,deepseek-r1,48,-0.2708333333333333,0.14583333333333334,-0.41666666666666663,0.0017537811927630308,0.002745048823455179,**,N
admission-ratings,neurodivergent,gemini2.5-flash,48,0.25,0.6666666666666666,-0.41666666666666663,0.020030769417892395,0.027211611284684006,*,N
admission-ratings,neurodivergent,gpt4o,48,-0.041666666666666664,0.020833333333333332,-0.0625,0.32369049012278905,0.3427311071888355,,N
admission-ratings,neurodivergent,gpt4o-mini,48,-0.6041666666666666,0.041666666666666664,-0.6458333333333333,2.4665244494052074e-07,1.0206940040154767e-06,***,N
admission-ratings,neurodivergent,gpt5.2,48,-0.3125,0.0,-0.3125,0.013658483223224669,0.019282564550434825,*,N
admission-ratings,neurodivergent,llama3.3-70b,48,-0.5833333333333334,0.5,-1.0833333333333335,2.5517350100386916e-07,1.0206940040154767e-06,***,N
admission-ratings,neurodiversity-informed,deepseek-r1,48,-0.8125,0.4583333333333333,-1.2708333333333333,2.257737386026891e-12,2.709284863232269e-11,***,NDI
admission-ratings,neurodiversity-informed,gemini2.5-flash,48,-0.2916666666666667,0.7708333333333334,-1.0625,4.572680783767613e-06,1.050775387519555e-05,***,NDI
admission-ratings,neurodiversity-informed,gpt4o,48,-0.4583333333333333,0.22916666666666666,-0.6875,3.8510276984651405e-07,1.459336812049948e-06,***,NDI
admission-ratings,neurodiversity-informed,gpt4o-mini,48,-0.8333333333333334,0.08333333333333333,-0.9166666666666667,8.787631319432345e-10,5.751904136355716e-09,***,NDI
admission-ratings,neurodiversity-informed,gpt5.2,48,-0.6041666666666666,0.041666666666666664,-0.6458333333333333,1.1613347678594948e-05,2.2598946834022603e-05,***,NDI
admission-ratings,neurodiversity-informed,llama3.3-70b,48,-1.6875,0.5625,-2.25,3.6438614351133397e-16,2.6235802332816048e-14,***,NDI
